type,name,steam_appid,required_age,is_free,controller_support,dlc,detailed_description,about_the_game,short_description,fullgame,supported_languages,header_image,website,pc_requirements,mac_requirements,linux_requirements,legal_notice,drm_notice,ext_user_account_notice,developers,publishers,demos,price_overview,packages,package_groups,platforms,metacritic,reviews,categories,genres,screenshots,movies,recommendations,achievements,release_date,support_info,background,content_descriptors
,The Ball Beta,35470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
game,Tradewinds Classics,36100,0,False,,,"<p>Travel back in time to a world of danger and mystery; a place where the open waters can mean anything but smooth sailing. Get carried away in these three classic installments in the acclaimed Tradewinds® Series.</p>
                    <p>&nbsp;</p>
                    <img src=""http://storefront.steampowered.com/v/gfx/apps/36100/extras/twl_logo.jpg"" align=""left"">
                    <p>Sail, trade and battle with legendary heroes such as Sinbad in the mythical Far East. Enter a world of danger and intrigue as you complete over 100 unique tasks. Build a flotilla of ships armed with weaponry, both man-made and magic. Sail into the sky to discover new ports and engage in aerial combat with other magical sky ships.</p>
                    <p>Encounter a world of legend, play Tradewinds Legends today!</p>
                    <ul>
                    <li>Over 100 tasks to choose from
                    <li>Play as one of 4 unique characters, or build your own from scratch
                    <li>10 beautiful ports to visit
                    <li>Build your fleet with 7 unique ships, weapons and magical attacks
                    <li>Hundreds of special items to customize your gameplay
                    <li>Interact with a limitless cast of characters on your adventures
                    </ul>
                    <p>&nbsp;</p>
                    <img src=""http://storefront.steampowered.com/v/gfx/apps/36100/extras/tw2_logo.jpg"" align=""left"">
                    <p>Navigate a fascinating new world and discover uncharted ports teeming with friends and foes alike. The choice is yours; be a master commander, defeating pirates and plundering their vast hordes of booty, or, play it safe by trading exotic island goods, gradually amassing untold wealth, power and influence.</p>
                    <p>Earn enough gold to upgrade your ship and engage in land and sea battles. Two game modes and over sixty hours of adventurous game play await you in Tradewinds® 2.</p>
                    <ul>
                    <li>Buy low and sell high in 20 different ports with 10 different goods
                    <li>Choose one of 5 characters or create and customize your own!
                    <li>Embark on over 100 swashbuckling adventures
                    <li>Over 60 hours of gameplay!
                    </ul>
                    <p>&nbsp;</p>
                    <img src=""http://storefront.steampowered.com/v/gfx/apps/36100/extras/twc_logo.jpg"" align=""left"">
                    <p>Tradewinds® Classic, set in the 19th century Far East, takes you back to the very beginning where buying and selling exotic goods, or collecting bounties on previously thought-to-be-dead pirates, can lead to untold wealth...or ultimate doom. With enough wisdom, courage and luck you too can become a Tai-Pan!</p>
                    <ul>
                    <li>Buy low, sell high, and build your fortune
                    <li>Choose from 4 unique characters
                    <li>Buy more ships to dominate the seas
                    <li>Collect bounties by defeating villainous pirates
                    </ul>","<p>Travel back in time to a world of danger and mystery; a place where the open waters can mean anything but smooth sailing. Get carried away in these three classic installments in the acclaimed Tradewinds® Series.</p>
                    <p>&nbsp;</p>
                    <img src=""http://storefront.steampowered.com/v/gfx/apps/36100/extras/twl_logo.jpg"" align=""left"">
                    <p>Sail, trade and battle with legendary heroes such as Sinbad in the mythical Far East. Enter a world of danger and intrigue as you complete over 100 unique tasks. Build a flotilla of ships armed with weaponry, both man-made and magic. Sail into the sky to discover new ports and engage in aerial combat with other magical sky ships.</p>
                    <p>Encounter a world of legend, play Tradewinds Legends today!</p>
                    <ul>
                    <li>Over 100 tasks to choose from
                    <li>Play as one of 4 unique characters, or build your own from scratch
                    <li>10 beautiful ports to visit
                    <li>Build your fleet with 7 unique ships, weapons and magical attacks
                    <li>Hundreds of special items to customize your gameplay
                    <li>Interact with a limitless cast of characters on your adventures
                    </ul>
                    <p>&nbsp;</p>
                    <img src=""http://storefront.steampowered.com/v/gfx/apps/36100/extras/tw2_logo.jpg"" align=""left"">
                    <p>Navigate a fascinating new world and discover uncharted ports teeming with friends and foes alike. The choice is yours; be a master commander, defeating pirates and plundering their vast hordes of booty, or, play it safe by trading exotic island goods, gradually amassing untold wealth, power and influence.</p>
                    <p>Earn enough gold to upgrade your ship and engage in land and sea battles. Two game modes and over sixty hours of adventurous game play await you in Tradewinds® 2.</p>
                    <ul>
                    <li>Buy low and sell high in 20 different ports with 10 different goods
                    <li>Choose one of 5 characters or create and customize your own!
                    <li>Embark on over 100 swashbuckling adventures
                    <li>Over 60 hours of gameplay!
                    </ul>
                    <p>&nbsp;</p>
                    <img src=""http://storefront.steampowered.com/v/gfx/apps/36100/extras/twc_logo.jpg"" align=""left"">
                    <p>Tradewinds® Classic, set in the 19th century Far East, takes you back to the very beginning where buying and selling exotic goods, or collecting bounties on previously thought-to-be-dead pirates, can lead to untold wealth...or ultimate doom. With enough wisdom, courage and luck you too can become a Tai-Pan!</p>
                    <ul>
                    <li>Buy low, sell high, and build your fortune
                    <li>Choose from 4 unique characters
                    <li>Buy more ships to dominate the seas
                    <li>Collect bounties by defeating villainous pirates
                    </ul>","Travel back in time to a world of danger and mystery; a place where the open waters can mean anything but smooth sailing. Get carried away in these three classic installments in the acclaimed Tradewinds® Series. &nbsp; Sail, trade and battle with legendary heroes such as Sinbad in the mythical Far East.",,English,https://cdn.akamai.steamstatic.com/steam/apps/36100/header.jpg?t=1621544954,,{'minimum': '<ul>\n\t                    <li><strong>OS:</strong> Windows XP/Vista</li>\n\t                    <li><strong>Processor:</strong> Pentium III 750Mhz or better(1.0 GHz Vista)</li>\n\t                    <li><strong>Memory:</strong> 256 MB System RAM (512 MB Vista)</li>\n\t                    <li><strong>Graphics:</strong> 3D Hardware Accelerated video card with 32MB Video RAM</li>\n\t                    <li><strong>DirectX&reg;:</strong> 7 or above (10 Vista)</li>\n                    </ul>'},[],[],,,,['Sandlot Games'],['Sandlot Games'],,,,[],"{'windows': True, 'mac': False, 'linux': False}",,,"[{'id': 2, 'description': 'Single-player'}]","[{'id': '4', 'description': 'Casual'}]","[{'id': 0, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_2e8d364501700ccab903955067304e073e887e6f.600x338.jpg?t=1621544954', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_2e8d364501700ccab903955067304e073e887e6f.1920x1080.jpg?t=1621544954'}, {'id': 1, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_c5d8fad6f6c22225a759daf17f2e767c15cb70dd.600x338.jpg?t=1621544954', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_c5d8fad6f6c22225a759daf17f2e767c15cb70dd.1920x1080.jpg?t=1621544954'}, {'id': 2, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_8e60b58aae74a163769b19abf87ac889e96d9e96.600x338.jpg?t=1621544954', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_8e60b58aae74a163769b19abf87ac889e96d9e96.1920x1080.jpg?t=1621544954'}, {'id': 3, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_bbad4e7dbfcba8bd10989314f5f7819ffbafd905.600x338.jpg?t=1621544954', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_bbad4e7dbfcba8bd10989314f5f7819ffbafd905.1920x1080.jpg?t=1621544954'}, {'id': 4, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_eb4edc7b006acc3750d3292f210e31661276e103.600x338.jpg?t=1621544954', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_eb4edc7b006acc3750d3292f210e31661276e103.1920x1080.jpg?t=1621544954'}, {'id': 5, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_71743c2afecc7bb85557cd2f192c19622b4f16fe.600x338.jpg?t=1621544954', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_71743c2afecc7bb85557cd2f192c19622b4f16fe.1920x1080.jpg?t=1621544954'}, {'id': 6, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_6f98cacb5882478f3b364b4a60ce386f9e9381a1.600x338.jpg?t=1621544954', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_6f98cacb5882478f3b364b4a60ce386f9e9381a1.1920x1080.jpg?t=1621544954'}, {'id': 7, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_fa9f3b9bcc9f65d855b7186bfdb5dfc1c6a5e681.600x338.jpg?t=1621544954', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_fa9f3b9bcc9f65d855b7186bfdb5dfc1c6a5e681.1920x1080.jpg?t=1621544954'}, {'id': 8, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_3a19e34de0505be710fa7fbc1e52688e7137bbf5.600x338.jpg?t=1621544954', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_3a19e34de0505be710fa7fbc1e52688e7137bbf5.1920x1080.jpg?t=1621544954'}, {'id': 9, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_d8025456c92544cf88cc355f287486f3d56f9986.600x338.jpg?t=1621544954', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_d8025456c92544cf88cc355f287486f3d56f9986.1920x1080.jpg?t=1621544954'}, {'id': 10, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_f2063aeecc6a58d038a007247baa5c7b4a0e5a5b.600x338.jpg?t=1621544954', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_f2063aeecc6a58d038a007247baa5c7b4a0e5a5b.1920x1080.jpg?t=1621544954'}, {'id': 11, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_5882a6727a735ca5b94cacb466d54dc1b5f6feeb.600x338.jpg?t=1621544954', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_5882a6727a735ca5b94cacb466d54dc1b5f6feeb.1920x1080.jpg?t=1621544954'}, {'id': 12, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_84180e0bedcc8dc22ac1ac03381ae126488ded5b.600x338.jpg?t=1621544954', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_84180e0bedcc8dc22ac1ac03381ae126488ded5b.1920x1080.jpg?t=1621544954'}, {'id': 13, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_643fa7a2d79c5ed6b125c219f85d5353a7d2ca47.600x338.jpg?t=1621544954', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_643fa7a2d79c5ed6b125c219f85d5353a7d2ca47.1920x1080.jpg?t=1621544954'}, {'id': 14, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_01238a2f1e2066bf1edd9436e9271069398282fa.600x338.jpg?t=1621544954', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/36100/ss_01238a2f1e2066bf1edd9436e9271069398282fa.1920x1080.jpg?t=1621544954'}]",,,,"{'coming_soon': False, 'date': ''}","{'url': '', 'email': ''}",https://cdn.akamai.steamstatic.com/steam/apps/36100/page_bg_generated_v6b.jpg?t=1621544954,"{'ids': [], 'notes': None}"
,Grotesque Tactics: Evil Heroes - Dev,46470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Monday Night Combat Development,63230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Football Manager 2012 Review,71300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arcadia - Beta,72520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arcadia Beta,72530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dungeons of Dredmor - Beta,98810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dungeons & Dragons: Daggerdale - Demo,99110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[Test] Puzzle Pirates,99930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Runespell: Overture - Press,102210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jamestown IGF,201930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Endless Space VIP,212090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Endless Space QA,215590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
